Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
Fuse Network (FUSE),$0.06093,+0.02%,-0.51%,-6.00%,"$3,355,144","$287,043 (4,710,698 FUSE)","55,045,523 FUSE"
CryptoFranc (XCHF),$1.08,-0.36%,+0.85%,+1.28%,"$3,353,744","$31,470 (29,110 XCHF)","3,100,000 XCHF"
Xaya (CHI),$0.06889,-0.21%,+0.45%,-8.14%,"$3,338,660","$8,843 (128,360 CHI)","48,462,895 CHI"
BnkToTheFuture (BFT),$0.004571,-0.07%,+2.80%,-2.02%,"$3,334,544","$13,615 (2,978,230 BFT)","729,955,635 BFT"
Torum (XTM),$0.01964,-0.30%,+1.80%,-2.77%,"$3,319,491","$574,928 (29,269,429 XTM)","168,896,597 XTM"
OTOCASH (OTO),$0.09,+0.00%,-0.01%,-0.00%,"$3,313,922",--,"36,820,604 OTO"
EPIK Prime (EPIK),$0.005731,+0.43%,+0.35%,-5.46%,"$3,306,469","$40,408 (7,051,170 EPIK)","576,506,867 EPIK"
ChangeNOW Token (NOW),$0.03873,-0.36%,-1.46%,-6.45%,"$3,286,720",$12 (312 NOW),"84,803,670 NOW"
Cardstack (CARD),$0.001393,-0.49%,+3.75%,+2.44%,"$3,286,316","$70,549 (50,656,685 CARD)","2,357,982,917 CARD"
Nxt (NXT),$0.003277,-1.30%,+0.63%,+4.34%,"$3,273,900","$1,290 (393,778 NXT)","998,999,942 NXT"
Cirus Foundation (CIRUS),$0.09651,-0.06%,-1.49%,-1.42%,"$3,276,005","$538,001 (5,574,630 CIRUS)","33,854,213 CIRUS"
Valor Token (VALOR),$0.163,-0.68%,-5.31%,-9.29%,"$3,286,075","$127,121 (779,860 VALOR)","20,036,000 VALOR"
Populous (PPT),$0.06107,-1.68%,+4.42%,-17.26%,"$3,253,031","$156,306 (2,559,331 PPT)","53,252,246 PPT"
ShareToken (SHR),$0.001372,-0.36%,-0.70%,-0.34%,"$3,253,354","$33,731 (24,592,953 SHR)","2,370,272,782 SHR"
Origin Dollar Governance (OGV),$0.003776,-0.36%,-1.06%,-11.53%,"$3,249,214","$616,559 (163,265,824 OGV)","859,782,377 OGV"
Linker Coin (LNC),$0.0287,-0.11%,+0.02%,-17.94%,"$3,238,175",--,"112,776,150 LNC"
DogeBonk (DOBO),$0.000000005507,-0.09%,+0.26%,-9.25%,"$3,219,289","$1,153 (209,366,390,252 DOBO)","582,959,739,166,037 DOBO"
BaaSid (BAAS),$0.0005125,+0.77%,-3.20%,+4.81%,"$3,199,204","$74,273 (144,909,895 BAAS)","6,250,000,000 BAAS"
Woonkly Power (WOOP),$0.0204,-0.06%,+3.63%,+1.41%,"$3,205,709","$91,306 (4,476,848 WOOP)","156,732,023 WOOP"
MultiVAC (MTV),$0.0008874,+0.01%,-1.83%,-9.96%,"$3,184,686","$505,673 (569,831,133 MTV)","3,587,369,426 MTV"
OpenOcean (OOE),$0.01698,+0.48%,+3.08%,+1.38%,"$3,161,720","$1,096,787 (64,579,524 OOE)","186,413,846 OOE"
KALM (KALM),$0.5578,-0.16%,-1.76%,-1.35%,"$3,170,197","$55,900 (100,219 KALM)","5,674,845 KALM"
DeepBrain Chain (DBC),$0.000986,-2.57%,-1.42%,-25.94%,"$3,142,588","$602,301 (610,839,106 DBC)","3,200,000,000 DBC"
Xeno Token (XNO),$0.008459,+0.87%,+0.90%,-5.24%,"$3,144,605","$1,175,240 (138,930,962 XNO)","372,210,897 XNO"
Plian (PI),$0.003222,+0.45%,+0.03%,-4.16%,"$3,138,662","$15,346 (4,762,861 PI)","973,718,832 PI"
Covesting (COV),$0.1868,-0.16%,-0.14%,+1.59%,"$3,136,680","$45,340 (242,733 COV)","16,787,851 COV"
Atari Token (ATRI),$0.002112,-0.36%,-6.82%,-2.72%,"$3,130,577","$2,560 (1,211,879 ATRI)","1,481,092,185 ATRI"
NerveNetwork (NVT),$0.01129,-0.08%,-0.12%,-7.88%,"$3,129,641","$41,799 (3,703,515 NVT)","276,983,684 NVT"
InsurAce (INSUR),$0.06959,+0.16%,-0.33%,-3.37%,"$3,138,275","$614,323 (8,827,805 INSUR)","44,891,926 INSUR"
Cajutel (CAJ),$2.30,-0.05%,+0.00%,-1.41%,"$3,113,699",--,"1,352,389 CAJ"
TABOO TOKEN (TABOO),$0.0003182,-0.27%,+1.36%,-4.55%,"$3,112,510","$58,770 (184,716,532 TABOO)","9,782,678,080 TABOO"
Newton (NEW),$0.0001495,+0.07%,+0.47%,-12.60%,"$3,075,540","$41,715 (278,754,037 NEW)","20,571,994,592 NEW"
REVV (REVV),$0.01107,-1.07%,+1.21%,-13.54%,"$3,079,811","$1,176,292 (106,430,302 REVV)","278,270,642 REVV"
Zigcoin (ZIG),$0.00728,-0.19%,+2.47%,-14.72%,"$3,068,936","$303,951 (41,776,278 ZIG)","421,534,212 ZIG"
NanoByte Token (NBT),$0.004528,-0.12%,-1.34%,-3.08%,"$3,056,097","$66,512 (14,688,595 NBT)","675,001,064 NBT"
1irstcoin (FST),$0.063,-47.86%,-47.85%,-59.65%,"$3,067,010",--,"48,681,740 FST"
MahaDAO (MAHA),$0.9891,-0.07%,-0.46%,-2.74%,"$3,043,272","$178,581 (180,702 MAHA)","3,076,946 MAHA"
Blocery (BLY),$0.005035,+0.70%,+0.82%,-12.03%,"$3,037,366","$350,515 (69,672,670 BLY)","603,211,106 BLY"
CumRocket (CUMMIES),$0.002293,+0.18%,+0.45%,-7.14%,"$3,028,000","$11,706 (5,104,733 CUMMIES)","1,320,428,309 CUMMIES"
